get away	clean
burn	to the ground
business	brisk
business	thriving
busy	as as a bee
busy	above [Aposs(NX)] head
buttoned	up to the neck
campaign	large
campaign	unremitting
campaign	vigorous
campaign	vigorously
capacity	infinite
care	like hell
care	deeply
care	really
care	very much
carry out	to the letter
case	acute
casualties	heavy
casualties	high
casualties	numerous
casualties	worst
catastrophe	great
catastrophe	huge
catastrophe	grand
cause	leading
ceremony	pageantry
certain	dead
challenge	big
challenge	closely
challenge	great
challenge	major
challenge	pressing
challenge	serious
challenge	staggering
challenge	stiff
challenge	tough
champion	powerful
chance	life and limb
chance	excellent
chances	good
chances	great
chances	strong
change	considerably
change	dramatically
change	radically
characteristics	pervasive
characterize	astutely
chasm	yawning
chatter	nineteen to the dozen
cheat	out-and-out
check	double
check	carefully
cheer	wildly
cherish	deeply
chilling	bone
choice	vast
circumscribed	closely
claim	bold
claim	strong
clarity	crystal
clarity	utter
clash	bitter
clash	bloody
clash	fierce
clash	heavy
clash	rowdy
clash	violent
class	large
classification	detailed
classification	exhaustive
classification	fine-grained
classified	highly
clean	as a whistle
clean	squeaky
clean-up	general
clear	crystal
clear	abundantly
clear	as a bell
clear	as crystal
clear	perfectly
cliché	tired
clouds	heavy
clouds	thick
coffee	strong
cold	ice
cold	stone
cold	as ice
cold	arctic
cold	bitterly
cold	enough to freeze balls off a brass monkey
cold	fierce
cold	freezing
cold	heavy
collaborate	closely
collaborate	hand-in-hand
collector	passionate
combat	ferocious
combat	hard
combat	intense
combat	mortal
combat	murderous
combat	rude
come a cropper	terrible
come through	forcefully
commited	strongly
commitment	deep
commitment	steadfast
commitment	uncompromising
commitment	unshakable
commitment	unswerving
committed	deeply
communication	close
compensation	hefty
compete	hard
competent	highly
competition	fierce
competition	hot
competition	stiff
competition	tough
complain	bitterly
complaint	bitter
complaint	vociferous
complexity	mind-boggling
complexity	staggering
complicated	immensely
composure	steely
compromise	far-reaching
conceal	carefully
concentration	high
concern	big
concern	deep
concern	grave
concern	great
concern	immense
concern	important
concern	paramount
concern	pressing
concern	profound
concern	real
concern	serious
concerned	deeply
concerned	intensely
concerned	keenly
concession	significant
concidence	pure
concidence	sheer
conclusion	key
conclusion	inescapable
conclusion	strong
condemn	harshly
condemn	roundly
condemn	strongly
condemnation	sharp
condemnation	strong
condition	critical
condition	strict
condition	stringent
condoleances	deep
condolences	deepest
confidence	complete
confidence	deep
confidence	full
confidence	great
confidential	strictly
confirm	amply
connected	closely
consensus	wide
consequence	momentous
consequence	serious
conservative	diehard
consider	carefully
consider	generally
consider	universally
consideration	careful
consideration	serious
conspiracy	vast
constancy	bedrock
constraint	strict
contact	close
contempt	bitter
contempt	deep
contempt	ingrained
contempt	open
contempt	profound
contempt	withering
contest	close
contest	tight
contradiction	blatant
contradiction	flagrant
contradiction	flat
contradiction	glaring
contrast	sharp
contrast	sharply
contrast	stark
contrast	vivid
contribution	significant
control	complete
control	full
control	strict
control	tightly
controls	stringent
controversial	highly
controversy	huge
convinced	in the heart of the hearts
convoy	long
cool	as a cucumber
correspond	closely
correspondence	exact
corrolary	pregnant
corruption	rampant
cost	devastating
cost	exhorbitant
cost	heavy
cost	high
cost	significant
cough	nagging
count	heavily
courage	exemplary
coverage	broad
coverage	in-depth
coverage	wide
crack	sharp
crack	vast
crazy	as a bedbug
credence	full
credence	great
crime	brutal
crime	horrible
crime	horrific
crisis	deep
crisis	full-blown
crisis	great
critic	adamant
critic	fierce
critic	outspoken
critic	strident
critic	strong
critic	vocal
critic	vociferous
critical	highly
critical	strongly
criticism	bitter
criticism	harsh
criticism	heavy
criticism	livid
criticism	serious
criticism	sharp
criticism	stiff
criticism	strong
criticism	violent
criticism	withering
criticize	harshly
criticize	roundly
criticize	severely
criticize	sharply
criticize	strongly
criticize	thoroughly
criticize	vigorously
criticize	violently
critique	incisive
cropped	closely
cry	NX’s eyes out
cry	NX’s heart out
cry	buckets
cry	defeaning
cry	loud
cry	unconsolably
currency	general
curve	sharp
curve	steep
cushion	substantially
cut	big
cut	deep
cut	deep
cut	sharp
cut	steep
cut	to the bone
cute	as a bug
cute	as a bug’s ear
damage	bad
damage	beyond repair
damage	cataclismic
damage	extensive
damage	great
damage	incalculable
damage	major
damage	seriously
damage	severe
damaged	badly
damaged	seriously
danger	great
danger	mortal
dangerous	mortally
dangerous	extremely
dangerous	incredibly
dangerous	very
dark	pitch
dead	as a doornail
dead	as a doornail
dead	as mutton
deaf	as a post
deaf	stone-
debate	greatly
debate	heated
debate	intense
debate	liveliest
debate	lively
debate	passionate
debated	hotly
debt	substantial
debt	unpayable
decline	dramatic
decline	greatly
decline	serious
decline	steep
decorated	highly
defeat	crushing
defeat	decisively
defeat	devastating
defeat	resounding
defeat	soundly
defeat	stunning
defeat	thumping
defeat	total
defect	serious
defend	strongly
defend	tooth and nail
defend	vigorously
defense	staunch
deficit	huge
definition	tight
defy	blatantly
degradation	utter
degree	high
degree	large
dejection	utter
delve	deeply
demand	great
demand	heavy
demand	heavy
demand	high
demand	hot
demand	overwhelming
demand	strong
denial	outright
denounce	categorically
deny	adamantly
deny	categotrically
deny	firmly
deny	flatly
deny	strenuously
deny	strongly
depend	heavily
depend	strongly
depleted	painfully
depth	big
depth	fathomless
depth	imponderable
depth	inscrutable
deserve	amply
deserve	richly
desire	big
desire	enormous
desire	intense
desire	large
desire	passionate
desire	strong
destroy	beyond repair
details	full
details	intimate
deteriorate	sharply
deteriorate	shockingly
determination	dogged
determination	gritty
determination	steely
determined	very
detest	absolutely
devastation	utter
development	dramatic
devotion	dogged
differ	greatly
differ	significantly
differ	widely
difference	big
difference	crucial
difference	enormous
difference	fundamental
difference	huge
difference	key
difference	sharp
difference	significant
difference	stark
difference	striking
difference	vast
differences	serious
different	as black and white
different	as chalk and cheese
different	basically
different	completely
different	distinctly
different	dramatically
different	entirely
different	fundamentally
different	markedly
different	radically
different	sharply
different	starkly
different	strikingly
different	totally
difficult	devilishly
difficulties	insurmontable
difficulty	serious
dig	deep
disabilitated	profoundly
disagree	vehemently
disappointed	bitterly
disappointment	bitter
disaster	colossal
disaster	total
discipline	unwavering
discovery	great
discretion	large
discussed	widely
discussion	heated
discussion	in-depth
discussion	spirited
disease	serious
disgusted	thouroughly
dismiss	out of hand
disparity	sharp
disposal	complete
dispute	considerable
dispute	heated
dispute	hotly
dispute	sharp
disregard	blatant
disregard	complete
disregard	flagrant
disregard	reckless
disruption	major
distance	huge
distinction	subtle
distort	beyond all recognition
distortion	gross
distress	acute
distress	complete
distress	extreme
distress	grave
distrust	deep
disturbed	deeply
disturbed	greatly
divergent	widely
divide	great
divided	deeply
divided	sharply
division	deep
dose	healthy
doubt	considerable
doubt	gnawing
doubt	great
doubt	nagging
doubt	serious
doubt	seriously
doubt	strong
doubt	strongly
doubts	serious
drama	high
draw	heavily
drink	avidly
drink	as a sponge
drink	like a fish
drink	heavily
drink	to excess
drink	voraciously
drive	fierce
drop	dramatic
drop	like a stone
drop	sharp
drop	sharply
drunk	blind
drunk	dead
drunk	stone
drunk	as a lord
drunk	as a sailor
drunk	as a skunk
drunkard	heavy
dry	bone
dry	as a bone
dudgeon	high
dumb	ass
dumb	as an ox
earthquake	devastating
earthquake	major
earthquake	massive
earthquake	powerful
easy	as 1
easy	as pie
eater	hearty
economy	considerable
ecstasy	pure
ecstasy	rapt
ecstasy	sheer
educated	highly
effect	great
effect	profound
efforts	dogged
efforts	endless
elation	bubbling
emotion	strong
emphasis	great
emphasis	heavy
emphasis	strong
emphasize	sharply
enemy	arch
enemy	bitter
enemy	deadly
enemy	implacable
enemy	mortal
enemy	sworn
enemy	to the death
energy	awesome
enforce	strictly
engaged	deeply
engrossed	totally
enjoy	thoroughly
enjoy	tremendously
enmity	festering
epidemic	major
epidemic	sweeping
epidemic	vast
error	fundamental
error	glaring
error	major
escalation	sharp
escape	daring
esteem	high
esteem	highly
event	momentous
evidence	clear
evidence	cogent
evidence	compelling
evidence	conclusive
evidence	convincing
evidence	critical
evidence	dramatic
evidence	incontrovertible
evidence	irrefutable
evidence	strong
evidence	unambiguous
evil	incarnate
evil	viciously
exaggerate	greatly
exaggerated	greatly
exaggeration	gross
examination	close
examine	carefully
examine	closely
example	enlightening
example	instructive
example	paramount
example	prominent
example	stark
example	striking
example	telling
exceed	by far
exceed	far
exceed	greatly
exceed	largely
exceed	much
exceed	widely
exhausted	dreadfully
expectations	enormous
expectations	great
expectations	high
expenditure	big
expenditure	large
experience	extended
experience	rich
experience	vast
expert	great
expert	leading
expertise	unparalleled
exploit	to the hilt
exploited	actively
exploited	widely
explosion	huge
explosion	large
explosion	powerful
explosive	high
exposed	heavily
extension	great
extent	great
extent	large
extreme	unprecedented
eye	eagle
eye	sharp
eyebrows	bushy
fabrication	pure
face	squarely
facilitate	greatly
facilitate	substantially
fact	irrefutable
fact	1
fact	well-established
fact	well-known
fail	badly
fail	dismally
fail	miserably
fail	severely
fail	utterly
failure	astounding
failure	catastrophic
failure	dismal
failure	fatal
failure	glaring
failure	miserable
failure	total
failure	utter
faith	unshakable
faith	unwavering
fall	like a ton of bricks
fall	sharply
famine	severe
famine	wide-spread
fan	big
fart	enormous
fascination	deepest
fat	as a hog
fat	as a pig
fear	craven
fear	mortal
fear	sharp
fear	terrible
fears	grave
feature	striking
fee	fat
feel	acutely
feel	in NX’s bones
feel	strongly
fever	high
field	intense
field	wide
fight	life-or-death
fight	till the end
fight	to the bitter end
fight	to the death
fight	to the rafters
fight	tooth and claw
fight	tooth and nail
fight	bitterly
fight	doggedly
fight	fiercely
fight	inexorably
fight	strong
fighting	fierce
fighting	heavy
fighting	intense
figure	prominently
figure	staggering
fill	to capacity
fine	hefty
fine	stiff
fire	devastating
fire	heavy
fire	heavybreaks out
fire	intense
fire	raging
first	ever
first	and foremost
fist	hard
fist	huge
fit	as a fiddle
fit	like a glove
fit	neatly
fit	to a tee
flat	as a pancake
flavor	intense
flavor	strong
flawed	deeply
flexibility	tremendous
flow	freely
focus	sharp
focus	tightly
foe	harsh
foe	implacable
foe	principle
foe	ruthless
fog	dense
fog	heavy
fog	milky
fog	thick
follow	to the letter
follow	automatically
follow	closely
follow	closely
follow	inexorably
follower	staunch
fool	arrant
fool	utter
forbid	absolutely
forest	dense
forest	thick
forget	plumb
forget	completely
forget	entirely
foundation	firm
foundation	solid
free	as a bird
free	as air
fresh	as a daisy
friend	close
friend	staunch
friendship	firm
frighten	to death
frightened	to death
frown	deep
frozen	solid
full	chockablock
full	chock
full	to overflowing
fun	lots
funny	outrageously
fury	ferocious
future	distant
future	remote
gains	significant
gap	big
gap	glaring
gap	wide
gap	yawning
genius	of the first water
gentle	as a lamb
gift	generous
give	generously
glory	world-wide
good	finger-licking
good	angelically
gorgeous	breathtakingly
gorgeous	drop-dead
grateful	deeply
grateful	enormously
gratitude	deep
gratitude	heartfelt
gratitude	undying
gratitude	unlimited
greet	warmly
greet	with open arms
grin	ear-to-ear
grin	big
grin	broad
grin	like a Cheshire cat
grin	perpetual
grin	rare wide
grind	fine
grip	firm
grip	iron
grip	strong
grip	tight
grip	vice-like
grounds	solid
grow	by the day
guard	heavy
guard	jealously
guard	zealously
guilty	as sin
hail	large
halt	screeching
handshake	firm
happy	as a king
hard	as a flint
hard	as a rock
hardship	severe
hate	absolutely
hatred	all-consuming
hatred	deathly
hatred	deep
hatred	visceral
headache	big
headache	pounding
headache	splitting
headache	strong
headache	thumping
heat	blistering
heat	fierce
heat	intense
heat	scorching
heat	searing
height	giddy
help	substantive
high	spike
hinge	heavily
hit	head on
hit	as a broadside
hit	direct
hit	hard
hit	severely
hit	smash
hold	good
hole	huge
honor	great
hope	ardently
hope	fervent
hope	fervently
hope	high
hope	passionately
hope	rare feverishly
hope	strongly
horizons	broad
hostility	rampant
hostility	harsh
hot	blazing
hot	blistering
hot	boiling
hot	broiling
hot	burning
hot	red
hot	scorching
hot	sizzling
hot	stiffling
hot	white
hot	as fire
hot	infernally
hot	piping
hug	bear
hug	tight
hullabaloo	great
hullobaloo	great
humiliate	grossly
hunger	acute
hungry	ravenously
hurry	great
hurt	like hell
hurt	badly
hurt	deeply
hurt	seriously
idiot	absolute
idiot	blistering
idiot	complete
idiot	perfect
ignorance	blistering
involved	closely
ill	critically
ill	deathly
ill	gravely
ill	mortally
ill	severely
illness	acute
illness	fatal
illness	grave
illness	incurable
illness	major
illness	serious
illness	terminal
illness	untreatable
illustration	detailed
imbedded	deeply
impact	big
impact	fundamentally
impact	severe
impact	strong
impact	tremendous
impacted	heavily
importance	high
importance	paramount
importance	primary
importance	prime
importance	profound
importance	tremendous
importance	vital
important	critically
important	tremendously
important	vitally
impossible	downright
impossible	outright
impression	indelible
impression	strong
improve	drastically
improve	much
improvement	fundamental
improvement	vast
in favor	heart and soul
in love	deeply
in love	head over ears
in love	head over heels
in love	rapturously
incidence	high
income	big
incompetence	gross
incompetent	supine
increase	big
increase	dramatic
increase	sharp
increase	significant
increase	steep
increase	substantial
increase	vastly
indecency	gross
independent	fiercely
ineptitude	gross
infectious	highly
inflation	rampant
inflective	highly
influence	ample
influence	deeply
influence	enormous
influence	great
influence	heavily
influence	heavy
influence	pervasive
influence	powerful
influential	tremendously
information	important
information	vital
inhibition	shackling
injured	badly
injured	critically
injured	lethally
injured	seriously
injury	serious
injustice	grave
injustice	gross
inroads	large
insight	revealing
insolence	brazen
insolence	unheard of
inspection	thorough
intention	firm
interest	close
interest	consuming
interest	great
interest	great
interest	intense
interest	keen
interest	passionate
interest	serious
interest	tremendous
interested	seriously
interesting	absorbingly
interrogate	relentlessly
interrogation	close
intertwined	closely
intertwined	inextricably
into	smack
intuition	sharp
invention	from start to finish
invest	heavily
investigation	extensive
investigation	intense
investigation	thourough
involved	heavily
jeopardy	grave
joy	exultant
joy	ineffable
joy	great
joy	overwhelming
jump	stiff
keen	razor
kick	firm
kick	hard
kindness	endless
know	for certain
know	forwards and backwards
know	like the back/palm of NX’s hand
know	as [NX’s] pocket
know	cold
know	well
lack	serious
last	dead
laugh	[NX’s] _head off
laugh	good
laugh	hard
laugh	heartily
laugh	uproariously
laughter	hysterical
laughter	rolling
laughter	side-splitting
laughter	uncontrollable
laughter	uproarious
laughter	wild
lead	confidently
lead	wide
lead	with confidence
lean	heavily
leap	big
learned	vastly
left	far
lend itself	easily
lend itself	readily
lesson	salutary
let know	in no uncertain terms
level	high
liar	arrant
liar	confirmed
liar	flat out
liar	hopeless
liar	inveterate
liar	out-and-out
lie	bald-faced
lie	bareface
lie	big
lie	bold-faced
lie	brazen
lie	brazenly
lie	flatly
lie	great
lie	arrant
lie	meaty
lie	out-and-out
lie	shamelessly
lie	substantial
lie	thundering
lie	utter
lifestyle	upscale
light	as a feather
light	as air
light	bright
light	considerable
like	a lot
likelihood	strong
likely	highly
limit	severely
limit	strictly
limitation	severe
link	narrow
linked	inseparably
linked	narrowly
liquor	hard
listen	carefully
listen	closely
listen	intently
little	precious
loan	huge
long	ass
look	close
lose	big
lose	by a large margin
lose	completely
lose	in a landslide
loser	big
loss	big
loss	huge
loss	immense
loss	stunning
losses	devastating
losses	grievous
losses	heavy
losses	staggering
lost	without trace
loud	as thunder
love	boundless
love	passionate
love	to death
love	unconditional
love	with all NX’s heart and soul
loyalty	unflinchibng
lucrative	highly
lunatic	raving
mad	as a March hare
mad	as hell
mad	hopping
mad	raving
mad	spitting
magnet	huge
magnet	powerful
majority	absolute
majority	crushing
majority	huge
majority	overwhelming
majority	solid
majority	thumping
majority	vast
make money	hand over fist
malnutrition	severe
many	a great
margin	wide
mark	indelible
marked	highly
market	vast
master	passed
master	past
master	seasoned
match	perfect
matter	greatly
matter	terribly
measure	decisive
measure	drastic
measure	resolute
measure	strong
measure	tough
measure	wide
measurements	elaborate
medication	strong
meek	as a lamb
memories	long
memory	infallible
memory	vivid
message	strong
minimum	absolute
minimum	bare
miracle	amazing
mirth	intense
misguided	fundamentally
miss	poignantly
miss	sorely
mistake	bad
mistake	big
mistake	crowning
mistake	fatal
mistake	glaring
mistake	grave
mistake	gross
mistake	huge
mistake	serious
mistake	tragic
mistaken	deeply
mistaken	royally
monitor	closely
more	by far
more	far
more	way
motivation	strong
mount	steeply
mourn	bitterly
mourning	deep
event	of the century
naked	buck
naked	stark
narrative	engrossing
necessity	dire
need	absolute
need	absolutely
need	acute
need	acutely
need	badly
need	desperately
need	dire
need	glaring
need	great
need	imperative
need	pressing
need	sorely
need	urgent
nerves	of steel
nerves	strong
nervous	as a cat on a hot tin roof
new	brand-
new	radically
new	spanking
new	stunning
nice	extremely
nightmare	worst
no	roaring
noise	deafening
nonsense	arrant
nonsense	utter
North	High
notice	significant
number	huge
number	large
number	record-breaking
number	sizable
number	unprecedented
obedience	total
obey	blindly
obey	strictly
obey	unstintingly
obey	without question
object	strongly
object	violenty
objection	compelling
objection	powerful
objection	serious
objection	stern
observance	strict
observation	careful
observation	trenchant
observe	strictly
observer	shrewd
obstacle	formidable
obvious	blatantly
off the mark	widely
offender	serious
offensive	all-out
offensive	major
official	high-ranking
official	senior
official	top-ranking
old	as Methuselah
old	as the hills
omission	glaring
open	wide
operation	large-scale
opinion	firm
opinion	strong
opponent	great
opponent	staunch
opponent	vigorous
opportunity	great
oppose	to the death
oppose	adamantly
oppose	fiercely
oppose	hotly
opposed	adamantly
opposed	diametrically
opposed	flatly
opposed	strongly
opposed	totally
opposed	vehemently
opposite	polar
opposition	fierce
opposition	strong
optimism	unbridled
order	strict
orgy	Roman
ovation	standing
overlap	heavy
packed	to the rafters
pain	extreme
pain	excrutiating
pain	gut-wrenching
pain	keen
pain	killer
pain	searing
pain	severe
pal	bosom
pale	as a  ghost
pale	as wax
parade	ticker tape
parallel	close
part	lion’s
part	large
part	major
participation	active
participation	dedicated
partisan	staunch
partition	watertight
passion	all-consuming
passion	consuming
past	distant
past	remote
patience	of a saint
patience	of Job
patience	endless
patience	infinite
patience	limitless
patience	unceasing
pay	through the nose
pay	heavily
peace	lasting
peal	great
pedantry	arrant
peeve	pet
penalty	stiff
penchant	pronounced
percentage	large
perfect	letter
perfection	perfected
performance	high
perfume	strong
peril	great
period	extended
perplexed	greatly
personality	strong
perspective	large
perspective	vast
place	central
place	prominent
plain	as the nose on your face
plastered	royally
please	enormously
pleased	as Punch
pleasure	great
pleasure	utmost
pocket	deep
pocket of resistance	strong
point	strongly
poor	dirt
poor	as a churchmouse
poor	as a field mouse
poor	wretchedly
populated	densely
populated	heavily
populated	highly
populated	thickly
portion	large
position	pride of place
position	high
position	important
position	strong
position	strong
possibility	strong
power	absolute
power	great
power	significant
power	sweeping
powers	great
powers	sweeping
powers	vast
powers	wide-ranging
praise	to the high heaven
praise	to the sky/skies
praise	high
praise	unstinting
pray	fervently
precautions	elevated
precision	great
prefer	much
prefer	strongly
preferable	far
preferable	infinitely
preferable	vastly
pressure	enormous
pressure	heavy
pressure	high
pressure	intense
pressure	severe
price	exorbitant
price	heavy
price	high
price	staggering
prickly	as a pear
pride	boundless
principle	overarching
priority	top
priority	high
probability	high
problem	big
problem	enormous
problem	glaring
problem	knotty
problem	serious
professional	well-seasoned
profits	big
profits	fat
profits	hefty
profits	large
profits	outstanding
progress	considerable
progress	rapid
progress	substantial
promise	great
promise	powerful
proof	conclusive
proof	hard
proportion	large
proportions	epidemic
proportions	harrowing
protest	energetic
protest	furios
protest	harsh
protest	heated
protest	raucous
protest	sharp
protest	stern
protest	stormy
protest	strong
protest	strongly
protest	vehemently
protest	violent
proud	as a peacock
prove	irrefutably
proven	amply
provocation	outright
publicized	much
punch	hard
punch	powerful
punch	strong
punishment	severe
pure	as the driven snow
pursue	aggressively
pursue	vigorously
push	hard
quake	deadly
quake	devastating
quake	huge
quake	massive
quake	severe
quake	strong
qualified	highly
quality	high
quantity	great
quantity	large
question	a million dollar
question	big
question	difficult
question	haunting
question	serious
question	tough
question	tricky
quick	as lightning
quick	as you can say Jack Robinson
quiet	as a mouse
quit	lightning
quit	cold-turkey
race	close
race	neck in neck
race	tight
rage	insane
rage	terrible
raid	heavy
rain	cats and dogs
rain	drenching
rain	driving
rain	forceful
rain	hard
rain	heavily
rain	heavy
rain	scudding
rain	soaking
rain	torrential
rain	torrentially
rainstorm	violent
raise	significantly
range	wide
rank	high
ransom	large
rapscallion	of the first water
rascal	of pure water
rascal	of the first order
rash	blistering
rattle	badly
raze	to the ground
reaction	severe
reaction	sharp
read	thoroughly
reader	avid
reader	voracious
reason	compelling
reason	momentous
reaviling	deeply
reaviling	highly
reaviling	particularly
rebuke	sharp
recognize	clearly
recommend	highly
recommend	strongly
recommendation	strong
recovery	rapid
recovery	speedy
reduce	drastically
reduce	much
reduction	deep
reflect	neatly
reform	root-and-branch
reform	comprehensive
reform	sweeping
refusal	flat
refusal	flat-footed
refusal	foursquare
refuse	flatly
refuse	pointedly
regard	high
regret	bitterly
regret	deeply
regret	terrible
regrets	deep
regulated	closely
reject	out of hand
reject	flat out
reject	bluntly
reject	categorically
reject	flatly
reject	strongly
reject	totally
related	closely
related	strongly
related	tightly
relationship	strong
relative	near
relative	close
relax	chill out
reliance	great
relief	great
relief	huge
reluctance	powerful
reluctant	strongly
rely	heavily
remember	vividly
reminder	pointed
reminder	stark
reminder	vivid
represented	strongly
requirement	strict
resemblance	close
resemblance	filial
resemblance	striking
resemblance	strong
resemblance	uncanny
resemble	closely
resemble	like two drops of water
resemble	strikingly
resemble	strongly
resentment	bitter
resentment	deep
reserves	strong
resilience	great
resistance	dogged
resistance	ferocious
resistance	fierce
resistance	heavy
resistance	stiff
resistance	tenacious
resolve	steely
resolve	unshakable
respect	a lot
respect	deep
respect	high
respect	highest
respect	immense
respect	profound
response	big
response	strong
responsibility	complete
responsibility	full
responsibility	heavy
rested	completely
rested	very
rested	well
restrict	tightly
restricted	highly
restricted	tightly
restriction	stringent
restrictions	tight
result	tangible
retaliation	severe
reveal	clearly
revenge	awful
revenge	bloody
revenge	terrible
reverence	deep
review	root-and-branch
review	top-to-bottom
reward	fully
reward	generously
rhetoric	fiery
rich	as a Croesus
rich	fabulously
rich	filthy
rich	infml stinking
rift	deep
rift	open
right	100%
right	dead
right	extreme
right	far
right	inalienable
right	unquestionably
riposte	crushing
riposte	devastating
rise	sharp
rise	sharply
risk	big
risk	enormous
risk	grave
risk	high
risky	highly
rival	arch
rival	bitter
river	big
river	foaming
river	full-bodied
river	powerful
rob	blind
rogue	outright
role	critical
role	decisive
role	lead
role	pivotal
role	crucial
role	essential
role	important
role	key
role	large
role	prominent
role	vital
rooted	deeply
round	as a ball
row	terrible
rubbish	utter
rule	hard
rule	iron-clad
rule	rock-hard
rule	stiff
rule	strict
rule out	categorically
rumors	persistent
saddened	deeply
salary	big
sanctions	crippling
sanctions	stiff
sanctions	tough
sarcasm	scathing
satire	searing
satisfaction	huge
scale	large
scale	unprecedented
scare	hair-raising
scared	as hell
